Length.Name,Length.Number,Apparent.Length,Corrected.Z.Depth,True.Length,Azimuth,Dip,Angle.to.CAxis
Length103b,3,7.53,3.92,8.49,58.09,27.51,62.04
Length103c,1,8.22,7.35,11.03,10.26,41.8,42.81
Length103c,2,8.06,2.45,8.42,15.68,16.92,22.91
Length103c,3,2.05,0.98,2.27,4.51,25.57,25.94
Length103d,1,4.78,1.96,5.17,67.16,22.31,68.96
Length103d,2,4.6,10.29,11.27,48.25,65.94,74.25
Length103d,3,5.51,0.98,5.59,11.64,10.09,15.36
Length103d,4,8.37,3.43,9.04,21.47,22.3,30.57
Length103d,5,7.89,3.43,8.6,14.85,23.52,27.59
Length103d,6,2.69,2.94,3.99,49.51,47.54,64.01
Length103e,1,4.59,0.98,4.69,84.27,12.06,84.39
Length103e,2,2.16,0.98,2.37,66.21,24.4,68.45
Length103e,3,2.31,0.49,2.36,79.41,12,79.65
Length103e,4,6.8,2.45,7.22,64.45,19.83,66.06
Length103e,5,7.79,0.49,7.8,42.39,3.6,42.51
Length104,1,1.42,2.45,2.83,54.75,59.99,73.22
Length104,2,10.22,8.33,13.19,37.38,39.18,51.98
Length104,3,4.2,0.98,4.31,21.19,13.15,24.77
Length104,4,2.74,1.47,3.11,52.64,28.23,57.68
Length104,5,4.54,3.43,5.69,58.57,37.08,65.42
Length104b,1,2.93,0.98,3.09,60.54,18.48,62.19
Length104b,2,1.19,0.98,1.54,88.28,39.46,88.67
Length104b,3,2.54,1.96,3.21,33.27,37.7,48.58
Length104b,4,6.23,2.94,6.89,38.01,25.26,44.55
Length106,1,7.39,1.96,7.65,55.74,14.85,57.03
Length106,2,5.15,0.98,5.24,45.16,10.78,46.16
Length106,3,4,7.84,8.81,86.16,62.95,88.25
Length106,4,5.24,3.92,6.55,84.94,36.79,85.95
Length106,5,3.27,0.98,3.42,68.17,16.68,69.13
Length106,6,2.91,0.49,2.95,19.52,9.56,21.65
Length106,7,8.75,6.37,10.82,26.62,36.07,43.73
Length106,8,4.57,3.92,6.02,11.01,40.62,41.83
Length107,1,3.09,1.96,3.66,80.29,32.37,81.81
