UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain16,13,4.67,1.47,4.89,62.88,17.48,2.13,64.19,0.597
Grain16,14,0.76,0.98,1.24,80.88,52.15,0.12,84.43,0.597
Grain16,15,0.2,0.49,0.53,59.32,68.3,0.10,78.90,0.597
Grain16,16,0.73,0.49,0.88,63.13,33.76,0.33,67.98,0.597
Grain16,17,2.01,1.47,2.49,82.15,36.18,0.27,83.67,0.597
Grain16,18,1.77,0.49,1.84,62.19,15.45,0.83,63.33,0.597
Grain16,19,0.59,0.49,0.77,49.85,39.56,0.38,60.39,0.597
Grain17,1,4.37,2.45,5.01,85.49,29.31,0.34,86.07,0.636
Grain17,2,0.68,1.96,2.08,80.94,70.8,0.11,87.05,0.636
Grain17,3,0.62,3.92,3.97,62.51,81.06,0.29,85.87,0.636
Grain17,4,1.34,4.9,5.08,1.43,74.72,1.34,74.71,0.636
Grain17,5,2.49,1.96,3.17,34.62,38.25,2.05,49.73,0.636
Grain17,6,0.94,0.49,1.06,0.09,27.59,0.94,27.53,0.636
Grain17,7,1.21,1.96,2.3,85.02,58.39,0.11,87.38,0.636
Grain17,8,0.9,1.96,2.16,31.54,65.36,0.77,69.20,0.636
Grain17,9,0.62,1.96,2.06,54.06,72.43,0.36,79.83,0.636
Grain17,10,6.57,4.9,8.2,53.04,36.74,3.95,61.20,0.636
Grain17,11,2.93,2.94,4.15,19.62,45.14,2.76,48.32,0.636
Grain17,12,4.13,7.35,8.44,81.91,60.65,0.58,86.05,0.636
Grain17,13,2.93,2.45,3.82,88.5,39.94,0.08,88.85,0.636
Grain17,14,5.9,6.37,8.68,41.99,47.23,4.39,59.65,0.636
Grain17,15,2.97,3.43,4.54,5.21,49.13,2.96,49.35,0.636
Grain17,16,6.72,4.9,8.32,15.31,36.1,6.48,38.83,0.636
Grain17,17,1.27,1.96,2.34,4.66,57.03,1.27,57.25,0.636
Grain17,18,4.68,2.45,5.29,49.57,27.62,3.04,54.99,0.636
Grain17,19,2.81,5.39,6.08,71.16,62.44,0.91,81.42,0.636
Grain17,20,1.76,1.96,2.63,12.24,48.11,1.72,49.16,0.636
Grain17,21,4.91,10.29,11.4,34.35,64.5,4.05,69.17,0.636
Grain17,22,7.79,6.37,10.07,0.42,39.27,7.79,39.32,0.636
Grain17,23,0.25,1.47,1.49,87.75,80.4,0.01,89.62,0.636
Grain17,24,2.2,1.96,2.95,5.24,41.71,2.19,42.04,0.636
Grain17,25,1.92,3.43,3.93,73.64,60.8,0.54,82.09,0.636
Grain17,26,2.93,1.96,3.52,9.06,33.82,2.89,34.71,0.636
Grain17,27,6.02,3.43,6.93,74.15,29.67,1.64,76.28,0.636
Grain17,28,5.07,3.43,6.12,42.29,34.07,3.75,52.21,0.636
Grain17,29,1.2,1.47,1.9,12.31,50.68,1.17,51.90,0.636
Grain17,30,2.4,4.41,5.02,86.77,61.43,0.14,88.46,0.636
Grain17,31,0.34,1.96,1.99,0.93,80.02,0.34,80.16,0.636
Grain17,32,4.19,2.94,5.12,89.64,35.04,0.03,89.71,0.636
Grain17,33,2.99,1.96,3.57,35.2,33.27,2.44,46.81,0.636
Grain17,34,3.17,0.49,3.21,8.18,8.79,3.14,12.18,0.636
Grain17,35,3.12,3.43,4.64,10.85,47.69,3.06,48.67,0.636
Grain17,36,0.29,0.98,1.02,9.06,73.38,0.29,73.69,0.636
Grain17,37,1.7,0.98,1.96,9.38,30.02,1.68,31.16,0.636
Grain17,38,8.93,5.39,10.43,19.33,31.14,8.43,36.11,0.636
Grain17,39,9.93,7.84,12.66,29.16,38.29,8.67,46.77,0.636
Grain17,40,6.21,7.84,10,37.85,51.62,4.90,60.64,0.636
Grain18,1,0.28,1.96,1.98,79.2,81.99,0.05,88.48,0.657
Grain18,2,1.52,2.45,2.89,84.4,58.13,0.15,87.06,0.657
Grain18,3,1.44,2.45,2.84,5.9,59.56,1.43,59.71,0.657
Grain18,4,0.28,0.98,1.02,86.76,73.82,0.02,89.11,0.657
Grain18,5,8.06,3.43,8.76,72.32,23.06,2.45,73.77,0.657
Grain18,6,1.74,2.45,3.01,7.64,54.55,1.72,55.04,0.657
Grain18,7,0.44,0.49,0.66,29.23,48.33,0.38,54.42,0.657
Grain18,8,9.67,3.43,10.26,71.31,19.54,3.10,72.42,0.657
Grain18,9,1.44,3.92,4.18,27.5,69.83,1.28,72.21,0.657
Grain18,10,1.12,4.9,5.03,89.82,77.1,0.00,89.96,0.657
Grain18,11,4.21,1.96,4.65,39.52,24.96,3.25,45.70,0.657
Grain18,12,1.72,1.96,2.61,63.93,48.67,0.76,73.17,0.657
Grain18,13,2.31,5.88,6.32,74.23,68.53,0.63,84.30,0.657
Grain18,14,2.77,8.33,8.78,60.32,71.61,1.37,81.01,0.657
Grain18,15,0.9,0.98,1.33,21.67,47.47,0.84,51.03,0.657
Grain18,16,10.1,4.9,11.23,3.43,25.88,10.08,26.13,0.657
Grain18,17,4.23,5.39,6.85,16.42,51.9,4.06,53.68,0.657
Grain18,18,3.16,2.45,4,31.21,37.76,2.70,47.49,0.657
Grain18,19,1.36,1.47,2,41.26,47.23,1.02,59.26,0.657
Grain18,20,3.28,2.45,4.09,78.55,36.78,0.65,80.84,0.657
Grain18,21,0.28,2.94,2.95,24.83,84.48,0.25,85.06,0.657
Grain18,22,2.18,1.96,2.93,7.64,41.95,2.16,42.49,0.657
Grain18,23,1.98,4.9,5.28,13.98,68.05,1.92,68.66,0.657
Grain18,24,5.36,3.92,6.64,42.65,36.19,3.94,53.58,0.657
Grain18,25,7.33,2.45,7.73,20.35,18.48,6.87,27.24,0.657
Grain18,26,2.96,1.47,3.31,38.56,26.4,2.31,45.63,0.657
Grain18,27,8.6,3.92,9.46,88.77,24.5,0.18,88.88,0.657
Grain18,28,0.8,1.47,1.68,41.76,61.32,0.60,69.19,0.657
Grain18,29,3.77,1.96,4.25,7.31,27.46,3.74,28.38,0.657
Grain18,30,6.06,4.41,7.5,8.46,36.04,5.99,36.95,0.657
Grain18,31,1.05,2.45,2.67,12.4,66.8,1.03,67.41,0.657
Grain18,32,1.82,1.47,2.34,63.49,38.92,0.81,69.69,0.657
Grain18,33,1.78,1.47,2.31,24.74,39.56,1.62,45.59,0.657
Grain18,34,1.17,2.45,2.72,51.03,64.39,0.74,74.30,0.657
Grain18,35,5.39,1.47,5.58,88.79,15.27,0.11,88.83,0.657
Grain18,36,2.57,4.9,5.53,48.5,62.36,1.70,72.06,0.657
Grain18,37,3.32,4.9,5.92,83.87,55.92,0.35,86.57,0.657
Grain18,38,1.25,0.98,1.59,4.46,38.12,1.25,38.39,0.657
Grain18,39,4.75,1.96,5.14,39.5,22.42,3.67,44.51,0.657
Grain18,40,4.96,8.82,10.12,27.99,60.68,4.38,64.36,0.657
Grain18,41,2.81,2.45,3.73,27.9,41.05,2.48,48.26,0.657
Grain18,42,1.82,1.96,2.68,35.42,47.12,1.48,56.40,0.657
Grain19,1,3.27,3.43,4.74,60.85,46.38,1.59,70.36,0.589
Grain19,2,0.59,2.45,2.52,2.33,76.39,0.59,76.47,0.589
Grain19,3,0.49,2.94,2.98,78.21,80.58,0.10,88.07,0.589
Grain19,4,0.37,0.98,1.05,11.41,69.25,0.36,69.79,0.589
Grain19,5,3.03,2.45,3.9,45.03,38.97,2.14,56.70,0.589
Grain19,6,1.74,1.96,2.62,40.05,48.47,1.33,59.44,0.589
Grain19,7,8.38,8.33,11.82,55.97,44.85,4.69,66.62,0.589
Grain19,8,1.9,1.47,2.4,13.26,37.7,1.85,39.60,0.589
Grain19,9,2.47,3.43,4.23,6.64,54.28,2.45,54.55,0.589
Grain19,10,3.91,3.43,5.2,7.5,41.25,3.88,41.80,0.589
Grain19,11,0.2,0.98,1,78.21,78.75,0.04,87.66,0.589
Grain19,12,2.51,8.33,8.7,35.87,73.23,2.03,76.48,0.589
Grain19,13,1.96,0.98,2.19,14.77,26.54,1.90,30.07,0.589
Grain19,14,2.1,2.45,3.23,79.99,49.39,0.37,83.51,0.589
Grain19,15,3.95,2.45,4.65,38.22,31.84,3.10,48.14,0.589
Grain19,16,0.22,2.45,2.46,51.64,84.91,0.14,86.82,0.589
Grain19,17,0.28,0.98,1.02,19.17,73.82,0.26,74.97,0.589
Grain19,18,7.08,2.94,7.67,34.47,22.55,5.84,40.45,0.589
Grain19,19,0.54,0.49,0.73,83.4,42.3,0.06,85.12,0.589
Grain19,20,4.02,2.94,4.98,38.13,36.22,3.16,50.58,0.589
Grain19,21,0.76,0.98,1.24,33.21,52.26,0.64,59.15,0.589
Grain19,22,1.59,1.96,2.52,35.7,51,1.29,59.18,0.589
Grain19,23,5.13,7.35,8.97,27.04,55.08,4.57,59.38,0.589
Grain19,24,5.14,2.45,5.69,34.71,25.51,4.23,42.05,0.589
Grain19,25,5.13,2.94,5.91,62.2,29.84,2.39,66.12,0.589
Grain19,26,11.58,5.39,12.78,38.03,24.96,9.12,44.46,0.589
Grain19,27,5.74,5.39,7.87,29.61,43.22,4.99,50.65,0.589
Grain19,28,0.9,3.92,4.02,33.21,77.12,0.75,79.20,0.589
Grain19,29,6.01,1.96,6.32,1.34,18.07,6.01,18.07,0.589
Grain19,30,4.69,1.96,5.08,8.22,22.68,4.64,23.97,0.589
Grain19,31,1.86,2.94,3.48,54.67,57.64,1.08,72.00,0.589
Grain19,32,1.42,1.47,2.05,33.96,45.96,1.18,54.93,0.589
Grain19,33,1.31,2.45,2.78,30.19,61.83,1.13,65.96,0.589
Grain19,34,2.55,3.43,4.28,18.38,53.35,2.42,55.57,0.589
Grain19,35,0.92,0.98,1.34,46.2,46.81,0.64,61.63,0.589
Grain19,36,7.54,2.45,7.93,61.51,18,3.60,63.03,0.589
Grain19,37,1.19,0.49,1.29,66.8,22.38,0.47,68.69,0.589
Grain19,38,5,2.45,5.57,57.65,26.11,2.68,61.29,0.589
Grain19,39,0.83,0.49,0.97,32.35,30.46,0.70,43.71,0.589
Grain19,40,0.39,1.47,1.52,11.79,75.14,0.38,75.45,0.589
Grain19,41,4.85,3.43,5.94,51.08,35.27,3.05,59.14,0.589
Grain19,42,2.19,2.94,3.67,44.07,53.3,1.57,64.61,0.589
Grain19,43,3.67,0.49,3.71,22.51,7.6,3.39,23.96,0.589
Grain19,44,2.18,2.94,3.66,22.1,53.44,2.02,56.50,0.589
Grain19,45,1.52,3.92,4.21,59.4,68.83,0.77,79.41,0.589
Grain19,46,5.05,9.8,11.03,29.29,62.76,4.40,66.46,0.589
Grain19,47,4.69,2.45,5.29,87.18,27.59,0.23,87.50,0.589
Grain19,48,4.89,2.94,5.71,49.6,31.03,3.17,56.29,0.589
Grain19,49,1.74,1.47,2.28,40.05,40.26,1.33,54.25,0.589
Grain19,50,0.62,2.94,3.01,39.55,78.01,0.48,80.86,0.589
Grain19,51,0.31,0.98,1.03,6.64,72.53,0.31,72.61,0.589
Grain19,52,0.9,0.98,1.33,56.79,47.55,0.49,68.25,0.589
Grain19,53,3.41,0.49,3.44,35.42,8.19,2.78,36.12,0.589
Grain19,54,5.2,2.45,5.74,38.54,25.25,4.07,44.88,0.589
Grain19,55,3.98,3.92,5.59,42.18,44.57,2.95,58.16,0.589
Grain19,56,0.34,0.49,0.6,56.79,54.87,0.19,71.92,0.589
Grain19,57,6.57,4.41,7.91,2.82,33.89,6.56,33.94,0.589
Grain19,58,1.03,0.49,1.14,13.55,25.55,1.00,28.55,0.589
Grain19,59,7.32,0.98,7.39,35.91,7.63,5.93,36.65,0.589
Grain19,60,2.71,2.45,3.65,42.05,42.12,2.01,56.54,0.589
Grain19,61,2.9,2.94,4.13,31.45,45.4,2.47,53.20,0.589
Grain19,62,0.39,0.49,0.63,78.21,51.48,0.08,82.73,0.589
Grain19,63,2.14,1.47,2.6,33.21,34.52,1.79,46.48,0.589
Grain19,64,3.1,2.45,3.95,35.94,38.33,2.51,50.55,0.589
Grain19,65,2.47,1.47,2.88,3.07,30.74,2.47,31.08,0.589
Grain19,66,7.8,2.45,8.18,78.59,17.44,1.54,79.13,0.589
Grain19,67,1.28,1.47,1.95,69.46,48.9,0.45,76.68,0.589
Grain19,68,5.27,2.94,6.04,18.81,29.17,4.99,34.32,0.589
Grain19,69,8.65,7.84,11.68,4.67,42.2,8.62,42.43,0.589
Grain19,70,5.04,1.96,5.41,34.78,21.27,4.14,40.08,0.589
Grain19,71,0.22,0,0.22,14.77,0,0.21,14.77,0.589
Grain19,72,0.31,0.98,1.03,59.77,72.53,0.16,81.28,0.589
Grain19,73,5.61,2.94,6.33,65.14,27.68,2.36,68.12,0.589
Grain19,74,0.59,1.47,1.58,77.35,68.16,0.13,85.31,0.589
Grain19,75,0.29,0.49,0.57,11.79,59.16,0.28,60.13,0.589
Grain19,76,0.1,2.45,2.45,11.79,87.72,0.10,87.71,0.589
Grain19,77,0.22,0.98,1,75.23,77.46,0.06,86.78,0.589
Grain19,78,0.34,1.47,1.51,33.21,76.8,0.28,79.14,0.589
Grain19,79,0.31,1.47,1.5,59.77,78.15,0.16,84.03,0.589
Grain19,80,5.17,6.86,8.59,43.68,53.01,3.74,64.20,0.589
Grain19,81,0.22,0,0.22,14.77,0,0.21,14.77,0.589
Grain19,82,4.59,1.47,4.82,48.92,17.78,3.02,51.26,0.589
Grain20,1,4.36,5.88,7.32,0.2,53.44,4.36,53.44,0.705
Grain20,2,0.83,1.47,1.69,30.66,60.46,0.71,65.01,0.705
Grain20,3,0.64,1.96,2.06,47.43,72.03,0.43,77.87,0.705
Grain20,4,4.14,1.47,4.39,18.23,19.56,3.93,26.40,0.705
Grain20,5,7.88,8.33,11.47,25.17,46.6,7.13,51.55,0.705
Grain20,6,0.69,1.47,1.62,34.9,64.87,0.57,69.55,0.705
Grain20,7,4.55,1.96,4.96,33.16,23.29,3.81,39.83,0.705
Grain20,8,5.44,6.37,8.38,47.35,49.52,3.69,63.91,0.705
Grain20,9,1.08,3.43,3.6,15.3,72.57,1.04,73.18,0.705
Grain20,10,6.39,3.92,7.5,89.99,31.53,0.00,89.99,0.705
Grain20,11,4.74,4.41,6.47,42.48,42.97,3.50,57.30,0.705
Grain20,12,0.28,1.96,1.98,69.14,81.75,0.10,87.11,0.705
Grain20,13,1.42,1.47,2.04,77.92,46.1,0.30,81.62,0.705
Grain20,14,8.23,7.84,11.37,70.65,43.61,2.73,76.12,0.705
Grain20,15,3.82,1.96,4.29,14.83,27.18,3.69,30.60,0.705
Grain20,16,9.49,6.37,11.43,51.36,33.87,5.93,58.77,0.705
Grain20,17,1.14,1.47,1.86,30.09,52.17,0.99,57.97,0.705
Grain20,18,0.9,0.98,1.33,55.1,47.55,0.51,67.22,0.705
Grain20,19,0.64,0.98,1.17,47.43,57.03,0.43,68.28,0.705
Grain20,20,0.55,1.47,1.57,34.9,69.43,0.45,73.30,0.705
Grain20,21,2.84,2.45,3.75,84.16,40.79,0.29,85.58,0.705
Grain20,22,0.73,0.98,1.22,76.08,53.21,0.18,81.72,0.705
Grain20,23,0.57,0,0.57,41.07,0,0.43,41.07,0.705
Grain21,1,7.7,0,7.7,19.69,0,7.25,19.69,0.618
Grain21,2,11.94,4.9,12.91,53.69,22.32,7.07,56.79,0.618
Grain21,3,9.96,8.82,13.31,53.37,41.53,5.94,63.48,0.618
Grain21,4,2.81,0,2.81,55.43,0,1.59,55.43,0.618
Grain21,5,0.57,0,0.57,4.15,0,0.57,4.15,0.618
Grain21,6,8.11,1.96,8.35,15.75,13.59,7.81,20.81,0.618
Grain21,7,10.08,3.43,10.65,47.4,18.79,6.82,50.16,0.618
Grain21,8,2.49,1.47,2.89,29.33,30.6,2.17,41.31,0.618
Grain21,9,2.01,1.96,2.8,16.67,44.36,1.93,46.55,0.618
Grain21,10,1.3,2.94,3.22,41.9,66.13,0.97,72.51,0.618
Grain21,11,11.09,4.41,11.94,20.64,21.69,10.38,29.63,0.618
Grain21,12,0.85,0.49,0.98,85.85,29.88,0.06,86.40,0.618
Grain21,13,3.33,1.47,3.64,24.13,23.83,3.04,33.39,0.618
Grain21,14,0.74,0.49,0.89,31.69,33.42,0.63,44.97,0.618
Grain21,15,1.21,1.96,2.3,68.93,58.39,0.44,79.10,0.618
Grain21,16,2.73,2.94,4.02,89.72,47.1,0.01,89.81,0.618
Grain21,17,3.55,0.49,3.58,38.95,7.86,2.76,39.54,0.618
Grain21,18,0.73,1.47,1.64,58.7,63.5,0.38,76.63,0.618
Grain21,19,5.2,1.47,5.41,65.52,15.78,2.15,66.53,0.618
Grain21,20,1.97,0.49,2.03,46.36,13.95,1.36,47.95,0.618
Grain21,21,0.42,0,0.42,70.65,0,0.14,70.65,0.618
Grain21,22,0.56,0,0.56,17.02,0,0.54,17.02,0.618
Grain21,23,1,0.49,1.12,6.05,26.02,0.99,27.39,0.618
Grain21,24,4.63,2.45,5.24,77.55,27.92,1.00,79.02,0.618
Grain21,25,2.87,2.45,3.78,69.63,40.45,1.00,74.68,0.618
Grain21,26,8.31,8.82,12.12,61.22,46.71,4.00,70.73,0.618
Grain21,27,0.9,0.98,1.33,14.29,47.47,0.87,49.02,0.618
Grain21,28,6.21,3.43,7.1,12.44,28.91,6.06,31.34,0.618
Grain21,29,4.05,2.94,5,23.69,36,3.71,42.12,0.618
Grain21,30,0.15,1.47,1.48,73.33,84.01,0.04,88.33,0.618
Grain22,1,0.4,0.49,0.63,48.02,50.63,0.27,64.87,0.569
Grain22,2,3.25,1.47,3.57,14.95,24.32,3.14,28.41,0.569
Grain22,3,1.7,0.98,1.96,80.5,30.02,0.28,81.77,0.569
Grain22,4,8.11,5.39,9.74,16.49,33.61,7.78,37.02,0.569
Grain22,5,4.2,3.43,5.42,10.35,39.28,4.13,40.33,0.569
Grain22,6,4.51,3.43,5.67,34.14,37.24,3.73,48.83,0.569
Grain22,7,7.43,7.84,10.8,58.3,46.55,3.90,68.81,0.569
Grain22,8,0.44,0.98,1.07,88.63,66.01,0.01,89.44,0.569
Grain22,9,1.42,0.98,1.72,25.96,34.71,1.28,42.07,0.569
Grain22,10,1.08,0.49,1.18,56.87,24.46,0.59,59.99,0.569
Grain22,11,0.97,0.98,1.38,68.85,45.36,0.35,75.31,0.569
Grain22,12,8.46,6.37,10.59,45.3,37,5.95,55.81,0.569
Grain22,13,3.15,6.37,7.11,78.25,63.7,0.64,84.82,0.569
Grain22,14,3.27,2.94,4.4,35.5,41.95,2.66,52.77,0.569
Grain22,15,2.68,1.47,3.06,47.03,28.72,1.83,53.35,0.569
Grain22,16,0.37,1.96,2,38.86,79.27,0.29,81.72,0.569
Grain22,17,8.16,8.33,11.66,55.73,45.6,4.59,66.79,0.569
Grain22,18,3.35,2.45,4.15,2.74,36.22,3.35,36.26,0.569
Grain22,19,8.58,3.92,9.44,30.54,24.56,7.39,38.48,0.569
Grain22,20,4.63,1.47,4.86,76.36,17.62,1.09,77.02,0.569
Grain22,21,1.66,0,1.66,17.06,0,1.59,17.06,0.569
Grain22,22,0.48,0.98,1.09,72.94,63.78,0.14,82.58,0.569
Grain22,23,6.35,1.96,6.64,30.58,17.17,5.47,34.58,0.569
Grain22,24,2.77,1.47,3.14,11.35,27.94,2.72,30.13,0.569
Grain22,25,7.66,0.98,7.72,68.64,7.29,2.79,68.81,0.569
Grain22,26,1.05,0.49,1.16,41.33,24.97,0.79,47.18,0.569
Grain22,27,4.19,5.39,6.83,49.97,52.15,2.69,66.76,0.569
Grain22,28,1.52,1.47,2.11,33.47,44.07,1.27,53.06,0.569
Grain22,29,0.96,1.47,1.76,86.02,56.84,0.07,87.83,0.569
Grain22,30,2.47,0.98,2.66,43.63,21.67,1.79,47.77,0.569
Grain22,31,3.27,1.47,3.58,24.34,24.23,2.98,33.67,0.569
Grain22,32,9.22,3.43,9.84,39.84,20.41,7.08,43.99,0.569
Grain22,33,0.93,2.94,3.08,65.07,72.49,0.39,82.69,0.569
Grain22,34,1.94,1.47,2.43,21.15,37.22,1.81,41.88,0.569
Grain22,35,5.83,2.94,6.53,22.66,26.78,5.38,34.52,0.569
Grain22,36,0.81,0.49,0.94,37.04,31.26,0.65,46.54,0.569
Grain22,37,0.83,0.98,1.29,82.62,49.63,0.11,85.26,0.569
Grain22,38,0.77,0.98,1.25,80.5,51.81,0.13,84.16,0.569
Grain22,39,0.81,1.47,1.68,87.08,61.23,0.04,88.59,0.569
Grain22,40,0.79,1.47,1.67,88.2,61.86,0.02,89.15,0.569
Grain22,41,2.01,2.45,3.17,57.88,50.71,1.07,70.30,0.569
Grain22,42,0.71,0.49,0.86,43.89,34.62,0.51,53.49,0.569
Grain22,43,0.78,0.49,0.92,27.94,32.13,0.69,41.50,0.569
Grain23,1,0.84,0.98,1.29,87.41,49.34,0.04,88.31,0.521
Grain23,2,0.84,0.49,0.97,2.59,30.21,0.84,30.11,0.521
Grain23,3,4.69,10.29,11.31,57.6,65.5,2.51,77.16,0.521
Grain23,4,6.38,1.96,6.68,51.39,17.08,3.98,53.42,0.521
Grain23,5,2.45,2.94,3.83,25.25,50.21,2.22,54.65,0.521
Grain23,6,0.68,0.98,1.19,56.37,55.28,0.38,71.55,0.521
Grain23,7,0.68,0.98,1.19,77.4,55.14,0.15,82.84,0.521
Grain23,8,2.3,6.86,7.24,41.02,71.46,1.74,76.13,0.521
Grain23,9,0.94,0.49,1.06,21.57,27.59,0.87,34.44,0.521
Grain23,10,5.8,1.47,5.98,89.96,14.23,0.00,89.96,0.521
Grain23,11,5.26,0.98,5.35,37.67,10.55,4.16,38.90,0.521
Grain23,12,1.59,2.94,3.34,34.89,61.64,1.30,67.02,0.521
Grain23,13,0.59,3.43,3.48,77.4,80.32,0.13,87.88,0.521
Grain23,14,3.87,7.84,8.74,30.36,63.77,3.34,67.54,0.521
Grain23,15,3.24,3.43,4.72,31.03,46.65,2.78,53.97,0.521
Grain23,16,8.97,2.94,9.44,31.52,18.16,7.65,35.90,0.521
Grain23,17,3.35,0.98,3.49,43.27,16.33,2.44,45.66,0.521
Grain23,18,4.84,3.43,5.94,3.32,35.32,4.83,35.57,0.521
Grain23,19,5.96,3.43,6.88,9.78,29.94,5.87,31.38,0.521
Grain23,20,4.62,1.47,4.85,34.11,17.64,3.83,37.94,0.521
Grain23,21,0.99,1.47,1.78,66.09,55.92,0.40,76.97,0.521
Grain23,22,0.15,1.47,1.48,31.03,84.01,0.13,85.02,0.521
Grain23,23,7.8,2.94,8.33,44.3,20.67,5.58,47.92,0.521
Grain23,24,2.01,0.98,2.24,63.5,25.99,0.90,66.40,0.521
Grain23,25,0.65,0.98,1.18,89.6,56.43,0.00,89.78,0.521
Grain23,26,10.82,4.9,11.88,3.52,24.38,10.80,24.62,0.521
Grain23,27,2.44,0.49,2.49,75.11,11.36,0.63,75.42,0.521
Grain23,28,7.67,1.47,7.81,2.71,10.85,7.66,11.19,0.521
Grain23,29,2.93,0.49,2.97,79.31,9.5,0.54,79.46,0.521
Grain23,30,4.5,4.9,6.66,52.32,47.43,2.75,65.61,0.521
Grain23,31,1.39,0.49,1.47,26.69,19.47,1.24,32.35,0.521
Grain23,32,7.14,2.45,7.55,8.68,18.95,7.06,20.79,0.521
Grain23,33,0.92,0.49,1.04,44.6,28.04,0.66,50.96,0.521
Grain23,34,8.25,1.47,8.38,16.39,10.1,7.91,19.18,0.521
