UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain04,8,7.52,7.84,10.87,53.25,46.21,4.50,65.55,0.612
Grain04,9,3.05,2.45,3.91,42.99,38.81,2.23,55.21,0.612
Grain04,10,0.15,0.49,0.51,25.64,72.53,0.14,74.62,0.612
Grain04,11,1.38,2.45,2.81,89.07,60.63,0.02,89.54,0.612
Grain04,12,11.65,3.43,12.15,84.39,16.41,1.14,84.62,0.612
Grain04,13,4.57,0.98,4.67,27.18,12.12,4.07,29.48,0.612
Grain04,14,8.09,0.49,8.11,34.85,3.47,6.64,35.05,0.612
Grain04,15,1.23,0.98,1.58,11.23,38.47,1.21,40.22,0.612
Grain04,16,0.54,2.94,2.99,12.4,79.62,0.53,79.84,0.612
Grain04,17,9.05,3.43,9.68,8.11,20.76,8.96,22.25,0.612
Grain04,18,8.45,3.92,9.32,12.7,24.88,8.24,27.81,0.612
Grain04,19,1.86,1.47,2.37,22.73,38.37,1.72,43.63,0.612
Grain04,20,7.6,3.43,8.34,31.46,24.31,6.48,38.98,0.612
Grain04,21,0.22,0.49,0.54,33.77,66.01,0.18,70.20,0.612
Grain04,22,0.53,0.98,1.11,29,61.82,0.46,65.32,0.612
Grain04,23,2.77,5.39,6.06,72.67,62.77,0.83,82.17,0.612
Grain04,24,4.21,3.43,5.43,20.59,39.17,3.94,43.46,0.612
Grain04,25,0.94,1.96,2.17,35.1,64.43,0.77,69.24,0.612
Grain04,26,1.42,3.43,3.71,84.77,67.59,0.13,88.00,0.612
Grain04,27,3.53,7.35,8.16,42.28,64.36,2.61,71.33,0.612
Grain04,28,1.48,2.94,3.29,79.96,63.27,0.26,85.50,0.612
Grain04,29,1.06,2.45,2.67,63.51,66.71,0.47,79.80,0.612
Grain04,30,1.73,1.96,2.61,66.41,48.6,0.69,74.62,0.612
Grain04,31,13.27,0.49,13.28,81.96,2.12,1.86,81.97,0.612
Grain04,32,0.64,0.49,0.8,64.73,37.63,0.27,70.03,0.612
Grain04,33,0.48,0.98,1.09,52.2,63.78,0.29,74.34,0.612
Grain04,34,5.01,2.94,5.81,44.92,30.44,3.55,52.37,0.612
Grain04,35,2.41,5.39,5.9,10.5,65.95,2.37,66.32,0.612
Grain04,36,4.07,2.45,4.75,38.77,31.06,3.17,48.08,0.612
