Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain17,18,1.686073707,1.636,2.349327679,51.56105456,44.13644456,,63.5017988
Grain17,19,2.427235342,3.272,4.073997472,35.1173196,53.43123343,,60.83413528
Grain17,20,1.524656676,3.272,3.609786971,86.05207999,65.01585226,,88.33361116
Grain17,21,0.703847899,2.454,2.552942981,65.68654372,73.99623061,,83.48209136
Grain17,22,1.297831399,2.454,2.776055176,25.08524908,62.12726409,,64.94975933
Grain17,23,5.764549658,5.726,8.125091307,37.67736701,44.80777905,,55.83869297
Grain17,24,4.583125468,4.908,6.715169622,55.06688844,46.96042873,,66.99478742
Grain17,25,6.150890936,3.272,6.967025428,79.33136182,28.01098824,,80.59324342
Grain17,26,5.090513559,4.09,6.530040451,23.09458104,38.78032019,,44.18618685
Grain17,27,4.307074928,1.636,4.607319224,55.11113228,20.79878766,,57.67561962
Grain17,28,3.811391738,7.362,8.290099576,52.71632888,62.62887971,,73.82928306
Grain17,29,1.990782488,0.818,2.152286904,69.31345628,22.33745218,,70.9285258
Grain17,30,7.246031746,7.362,10.3297638,72.81156007,45.45484238,,78.03609295
Grain17,31,10.73845012,0.818,10.76956057,42.71186443,4.356085776,,42.89085164
Grain17,32,2.350667178,4.09,4.717386584,48.5171328,60.11249936,,70.72691276
Grain17,33,7.653217853,6.544,10.06954217,47.12341663,40.53259943,,58.85906213
Grain17,34,5.661156229,2.454,6.170154443,87.35631008,23.43578433,,87.5745338
Grain17,35,6.765168934,8.18,10.6150794,55.54575057,50.40796674,,68.86536381
Grain17,36,4.328257391,4.09,5.954990516,31.08204799,43.37882128,,51.5027552
Grain17,37,7.564570452,3.272,8.241887534,36.04159869,23.39054514,,42.08594985
Grain17,38,4.547231209,3.272,5.602079584,13.88657426,35.73723347,,38.00283776
Grain17,39,2.591254649,4.09,4.841766274,15.43080314,57.64334584,,58.94265651
Grain17,40,1.065651681,3.272,3.441162232,72.19641973,71.9601834,,84.56678213
Grain17,41,5.521437184,4.09,6.871271249,17.5067136,36.52916714,,39.9741198
Grain17,42,7.266513413,5.726,9.251448167,71.97084696,38.23804879,,75.93064507
Grain17,43,4.019666945,5.726,6.996055914,70.32200715,54.93104478,,78.84439004
Grain17,44,6.544708348,6.544,9.255114443,63.26936412,44.99689921,,71.45366558
Grain17,45,3.513821107,0.818,3.607778094,9.376611247,13.10476742,,16.06594317
Grain17,46,7.500319133,5.726,9.436199611,22.61713116,37.35935149,,42.80100376
Grain17,47,4.768936607,1.636,5.041750922,83.43894544,18.93470662,,83.7954056
Grain17,48,4.148433272,6.544,7.748124587,8.717295297,57.62819256,,58.0468059
Grain17,49,1.746031746,0.818,1.928147001,70.31854228,25.10266306,,72.24301643
Grain17,50,10.16191976,1.636,10.29276976,35.84321616,9.145754147,,36.83960711
Grain17,51,5.063492063,4.09,6.508997763,72.81156007,38.92929946,,76.70953176
Grain17,52,3.075445468,4.908,5.791962433,38.21927138,57.92796506,,65.34409286
Grain17,53,4.136474132,4.09,5.817088468,28.66665747,44.67632023,,51.39640838
Grain17,54,6.24679308,1.636,6.457470076,9.376611247,14.67583647,,17.3599069
Grain17,55,4.461785896,4.908,6.632947865,47.7676668,47.72651735,,63.1197348
Grain17,56,8.238328437,4.09,9.197725557,85.66965024,26.40255689,,86.12207218
Grain17,57,5.804078461,1.636,6.030242349,88.5201979,15.74159219,,88.57570945
Grain17,58,2.266481029,0.818,2.409576779,32.83068639,19.84511703,,37.77938485
Grain17,59,5.60500667,4.908,7.450138507,20.2169167,41.20687195,,45.09080299
Grain17,60,1.990782488,1.636,2.576763651,88.06667877,39.41293522,,88.50644914
Grain17,61,8.965324708,5.726,10.63786271,5.131000463,32.565677,,32.92341171
Grain17,62,6.239468325,6.544,9.041841681,0.739479832,46.3646594,,46.36920909
Grain17,63,6.648690807,1.636,6.847012885,42.88004823,13.82376909,,44.63841582
Grain17,64,7.684523553,3.272,8.352118668,18.4903926,23.06386223,,29.24109718
Grain17,65,5.01889225,6.544,8.247012515,30.25775783,52.513755,,58.28706745
Grain17,66,2.689399045,5.726,6.326131774,4.054417624,64.84140148,,64.90873128
Grain17,67,5.063492063,7.362,8.935211015,26.41437904,55.48029034,,59.50073038
Grain17,68,6.324998494,5.726,8.531862748,2.997363079,42.15443799,,42.24094957
Grain17,69,3.134357997,0.818,3.239340064,4.313438371,14.62671682,,15.23615759
Grain17,70,4.871710181,5.726,7.518020756,19.06539781,49.60869286,,52.23248562
Grain17,71,6.549946676,3.272,7.321733774,3.903899576,26.54423994,,26.8091494
Grain17,72,1.554360571,4.09,4.375401328,34.65433348,69.19124344,,73.00863213
Grain17,73,0.276071859,1.636,1.659129793,1.246508893,80.42168403,,80.42397204
Grain17,74,7.875551627,5.726,9.73711402,71.20776236,36.01940755,,74.89726988
Grain17,75,3.982521968,4.09,5.708640927,46.80821423,45.7627943,,61.47853126
Grain17,76,3.162197985,0.818,3.266285366,10.84824818,14.5033965,,18.04169244
Grain17,77,3.70594981,4.09,5.519253935,25.90240764,47.82026964,,52.84284109
Grain17,78,4.417149748,5.726,7.231755519,35.62338875,52.3526946,,60.23155152
Grain17,79,5.655094671,5.726,8.047805399,26.06909908,45.35695367,,50.86131346
Grain17,80,7.548937511,8.18,11.13098637,66.83723678,47.29753822,,74.52827616
Grain18,1,4.667166046,2.454,5.273002456,55.93983712,27.73543302,,60.28307624
Grain18,2,5.058221121,4.09,6.504898224,69.66652219,38.95847236,,74.32359946
Grain18,3,4.573970028,8.998,10.09382018,28.3434634,63.0543189,,66.49548445
Grain18,4,2.237715267,2.454,3.321066939,62.14002854,47.63942598,,71.64689831
Grain18,5,6.094876395,3.272,6.917622588,10.39707409,28.22887634,,29.93424011
Grain18,6,3.684292481,4.09,5.504735333,77.91080927,47.98731508,,81.94213037
Grain18,7,3.281657261,4.908,5.904044239,12.97352365,56.23195365,,57.20438538
Grain18,8,3.583621163,4.09,5.437870966,14.3388214,48.77544906,,50.32125349
Grain18,9,6.648690807,2.454,7.087115453,11.65247148,20.25886258,,23.24822829
Grain18,10,2.626312675,2.454,3.594389276,63.03171965,43.05740191,,70.64885147
Grain18,11,6.515529833,6.544,9.234504047,76.76468268,45.12490632,,80.70373729
Grain18,12,1.799768329,0.818,1.976939563,34.37977321,24.44193604,,41.29261259
Grain18,13,4.43522996,4.908,6.615113665,58.6199904,47.89671186,,69.56642545
Grain18,14,2.225762486,5.726,6.143378113,59.72594915,68.75831969,,79.47584518
Grain18,15,3.440391515,2.454,4.225921175,12.70932528,35.49991811,,37.42311885
Grain18,16,4.693221607,4.908,6.790787366,60.01893214,46.28148728,,69.79621489
Grain18,17,2.51967566,2.454,3.517226383,62.45226015,44.24347309,,70.65123966
Grain18,18,2.208574874,2.454,3.301502533,23.1490345,48.01311162,,52.04085437
Grain18,19,1.240788686,2.454,2.749849553,80.87339018,63.17797846,,85.89576969
Grain18,20,4.892005809,2.454,5.473009852,46.37060819,26.63993255,,51.92133169
Grain18,21,4.195020684,3.272,5.320167529,53.59546171,37.95324469,,62.09747818
Grain18,22,6.394506059,5.726,8.583518144,73.75520045,41.84305205,,77.97135493
Grain18,23,4.33441611,4.908,6.547948306,60.38386848,48.55121884,,70.90551239
Grain18,24,5.157447948,5.726,7.706253651,82.3750765,47.99041704,,84.90532105
Grain18,25,1.297831399,4.908,5.076694824,61.23780738,75.18819513,,82.93414726
Grain18,26,6.554018037,4.09,7.725493669,83.34428302,31.96600517,,84.35711273
Grain18,27,2.109738186,1.636,2.669736169,72.85997146,37.7918487,,76.53268083
Grain18,28,1.630928243,2.454,2.946530661,26.05987232,56.39199027,,60.18270649
Grain18,29,5.218415412,7.362,9.023907325,30.89044831,54.66979529,,60.24726422
Grain18,30,6.874688202,2.454,7.299551621,88.78055325,19.64461528,,88.85153979
Grain18,31,8.751521482,1.636,8.903124409,29.80032467,10.58859657,,31.46202054
Grain18,32,5.124090048,4.09,6.556248837,87.27426052,38.59653494,,87.86998883
Grain18,33,1.667894483,2.454,2.967151497,84.46288692,55.79747969,,86.89079618
Grain18,34,4.489882526,5.726,7.27640853,74.98106786,51.89922531,,80.79888932
Grain18,35,7.937245997,6.544,10.28707004,18.74930147,39.5044667,,43.06071177
Grain18,36,6.901796481,9.816,11.9995271,66.8509655,54.88829551,,76.93159652
Grain18,37,8.165849065,6.544,10.46446496,35.44672737,38.70820976,,50.52743898
Grain18,38,2.785454246,2.454,3.712259602,80.61175061,41.38022295,,82.96947793
Grain18,39,4.372929449,3.272,5.461547031,67.63747863,36.805299,,72.26411869
Grain18,40,7.004286382,5.726,9.046938914,31.53463473,39.26597835,,48.7090384
Grain18,41,10.37163433,4.908,11.47428702,87.26604371,25.32415644,,87.52894235
Grain18,42,5.853765103,3.272,6.70615761,58.93800796,29.20329096,,63.23174347
Grain18,43,2.075135041,5.726,6.090423749,63.83300698,70.07919493,,81.35834434
Grain18,44,7.653217853,4.908,9.091765918,15.99495192,32.6720071,,35.98350848
Grain18,45,2.973384921,3.272,4.421199146,88.65237499,47.7374395,,89.09372879
Grain18,46,3.523568203,0.818,3.617272022,0.403229176,13.06976241,,13.07587295
Grain18,47,7.691463072,8.998,11.83733957,22.14180453,49.47627855,,52.99782582
Grain18,48,2.098872509,3.272,3.887319103,86.58398332,57.32126096,,88.15637125
Grain18,49,0.195212284,1.636,1.647605485,74.98106786,83.19547323,,88.24055279
Grain18,50,2.882274829,5.726,6.410505767,83.55020974,63.28086169,,87.10495125
Grain18,51,7.580673867,3.272,8.256670048,3.130274103,23.34618199,,23.54345638
